url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,reject_reasons
https://www.youtube.com/watch?v=c4jgxrNCIY8,"TATA | LOS 15KG DE LECHUGA DE MARTIN PEPA, LA MEJOR DE NTVG Y ENTREVISTA A LUCHO MELLERA",Congo,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=Je1QlO-OcYA,Periodista japonés queda paralizado tras recibir beso de Melissa Martínez,Deportes RCN,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s|asr_not_run
https://www.youtube.com/watch?v=ntwBKZn1usk,"HASTA SIEMPRE, INDIO | Especial con Pedro Rosemblat",GELATINA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=6JtUAE3aTMk,"PRIMERA PARTE: PROTOPUNK | SERGIO ROTMAN, SOFÍA GALA Y JIME GONIK | VIAJE AL SONIDO 2.7 | COMPLETO",Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=nWhwBWzIwdo,"JOY DIVISION, NEW ORDER Y EL DARK ARGENTINO DE LOS '80 | VIAJE AL SONIDO 1.10 | PROGRAMA COMPLETO",Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=Ff2K4M55XL0,CA7RIEL y Paco Amoroso CON MORIA | JULI SAVIOLI REACCIONA | NAVE NODRIZA 26.8 | PROGRAMA COMPLETO,Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=yYb6sDBrw-I,"SEGUNDA PARTE: PUNK | SERGIO ROTMAN, SOFÍA GALA Y JIME GONIK | VIAJE AL SONIDO 9.7 | COMPLETO",Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=PwrJmnF_wWI,ESPECIAL LAS CHICAS DE LA CULPA CON MORIA CASÁN | NAVE NODRIZA 21.10 | PROGRAMA COMPLETO,Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=i9Wq1TjHyZ0,"DANIEL MELERO CON SERGIO ROTMAN, SOFÍA GALA Y JIME GONIK | VIAJE AL SONIDO 6.8 | PROGRAMA COMPLETO",Picnic Extraterrestre,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=2WfR_2HwUzo,“¿¡Qué te importa!?”: Juana Molina FRENÓ EN SECO a Pergolini en Otro día perdido,eltrece,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s|asr_not_run
https://www.youtube.com/watch?v=WDivKo84kzw,¡FUERTE CRUCE KUN AGUERO vs DAVO XENEIZE! (VIDEO COMPLETO),SKILLS News,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=Hyuj-CFqqms,CAZZU y LA JOAQUI son CASI HERMANAS,LA CASA STREAMING,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=x0-2FXynLnU,LA PREVIA DE #FUTTTURA | SHOW EN VIVO,LA CASA STREAMING,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=8fySGL5rp6U,"Pachu Peña: ""En Corte y Confección vendo humo y trato de que la gente se divierta"" | Caja Negra",Filo News,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=Nr_4wLCMdWg,Gente Buena #26 - Rodrigo de la Serna | OKUPAS 26 años después,Gente Buena,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=SiOrA0QqEKE,Olor a campeón | Gonzalo Vilariño | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=IIh9LpMORD0,¿Y te vas a quedar acá? |  Radagast | TEDxJoven@RíodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=8nKCA9h-7BA,Cómo nos manipulan en las redes sociales | Santiago Bilinkis | TEDxRiodelaPlata,TEDx Talks,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=VGZyTiAh99g,"5.ª Conferencia Anual del CEPE | Energía, cambio climático y crecimiento",Universidad Torcuato Di Tella,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_mayor_a_14400s|asr_not_run
https://www.youtube.com/watch?v=WSdtwNRTG38,XX Jornadas de Historia | Rosas y su época,Universidad Torcuato Di Tella,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_mayor_a_14400s|asr_not_run
https://www.youtube.com/watch?v=5BHntfyUyu0,El factor Perón en la historia argentina,Universidad Torcuato Di Tella,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=YNMytQk-dtE,"Study Trip: Universidad Torcuato Di Tella (Buenos Aires, Argentina)",Universidad del Pacífico,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s|asr_not_run
https://www.youtube.com/watch?v=h7zOX40kPgA,"🎙️Entrevista a Andrés Hatum, Prof  Management y Organización en la  Universidad Torcuato Di Tella.",GhidiniRodil,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=CKkM2Y2Cw4Y,PROGRAMA DE INTERCAMBIO EN DI TELLA.,Redondel TV Films,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s|asr_not_run
https://www.youtube.com/watch?v=NZH5EJeoOA8,Emprendedores en Di Tella | ¿Cómo nacen las empresas tecnológicas de alto impacto?,Universidad Torcuato Di Tella,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=MLB5lQ8AaCQ,"Otra trama - 327 cuadernos, entrevista a Andres Di Tella - 19-09-15",Televisión Pública,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=6VXzpDfdFL0,Entrená tu mente como un atleta,Fundación OSDE,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=3lENW2nNZ-o,Entrevistas en el Espacio - Damián Betular,Fundación OSDE,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
